MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
5.0,8.0,7.0,5.0,5.0,6.0,7.0,7.0,4.0,2.0,6.0,5.0,6.0,4.0,4.0,9.0,10.0,9.0,4.0,8.0,0.605
5.0,5.0,7.0,6.0,7.0,5.0,7.0,3.0,3.0,5.0,9.0,5.0,5.0,4.0,3.0,6.0,2.0,2.0,5.0,7.0,0.505
6.0,4.0,7.0,2.0,6.0,5.0,6.0,4.0,3.0,2.0,3.0,7.0,6.0,5.0,4.0,8.0,3.0,2.0,9.0,4.0,0.48
6.0,4.0,4.0,5.0,3.0,10.0,5.0,8.0,5.0,6.0,6.0,10.0,6.0,1.0,1.0,4.0,2.0,6.0,2.0,3.0,0.485
10.0,3.0,3.0,6.0,8.0,5.0,4.0,9.0,7.0,3.0,2.0,3.0,7.0,3.0,3.0,8.0,8.0,5.0,7.0,5.0,0.545
6.0,4.0,6.0,6.0,8.0,1.0,6.0,3.0,4.0,6.0,9.0,5.0,5.0,6.0,9.0,4.0,4.0,5.0,1.0,8.0,0.53
4.0,5.0,3.0,6.0,8.0,5.0,5.0,3.0,5.0,7.0,4.0,5.0,7.0,6.0,9.0,7.0,2.0,4.0,3.0,7.0,0.525
5.0,6.0,4.0,8.0,6.0,4.0,2.0,2.0,2.0,3.0,7.0,6.0,3.0,6.0,3.0,8.0,2.0,4.0,5.0,9.0,0.475
5.0,1.0,5.0,1.0,4.0,3.0,6.0,1.0,7.0,6.0,1.0,7.0,5.0,3.0,5.0,2.0,2.0,8.0,3.0,5.0,0.4
2.0,6.0,7.0,4.0,7.0,5.0,4.0,5.0,1.0,3.0,5.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,0.415
4.0,3.0,4.0,5.0,5.0,7.0,7.0,6.0,7.0,3.0,6.0,6.0,10.0,5.0,6.0,3.0,6.0,4.0,7.0,3.0,0.535
7.0,8.0,7.0,5.0,6.0,7.0,3.0,4.0,9.0,7.0,8.0,5.0,7.0,3.0,9.0,3.0,6.0,6.0,6.0,7.0,0.615
2.0,6.0,3.0,2.0,3.0,2.0,5.0,7.0,5.0,6.0,10.0,3.0,4.0,9.0,5.0,5.0,6.0,5.0,2.0,6.0,0.48
1.0,6.0,3.0,6.0,10.5,7.0,5.0,8.0,5.0,2.0,6.0,6.0,8.0,1.0,4.0,3.0,4.0,8.0,4.0,5.0,0.515
4.0,7.0,6.0,3.0,2.0,6.0,4.0,6.0,3.0,6.0,6.0,5.0,3.0,3.0,10.0,3.0,8.0,8.0,5.0,6.0,0.52
8.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,9.0,9.0,4.0,6.0,8.0,6.0,10.5,5.0,7.0,3.0,8.0,0.615
4.0,8.0,7.0,5.0,5.0,7.0,7.0,7.0,1.0,8.0,5.0,9.0,2.0,7.0,4.0,5.0,4.0,8.0,9.0,5.0,0.585
6.0,4.0,5.0,5.0,7.0,4.0,3.0,4.0,5.0,5.0,4.0,7.0,3.0,3.0,6.0,5.0,5.0,4.0,7.0,3.0,0.475
3.0,6.0,5.0,9.0,5.0,2.0,7.0,3.0,2.0,6.0,6.0,4.0,7.0,6.0,6.0,4.0,4.0,3.0,6.0,6.0,0.5
8.0,5.0,5.0,4.0,3.0,7.0,6.0,4.0,7.0,7.0,6.0,2.0,1.0,5.0,5.0,6.0,2.0,10.0,4.0,5.0,0.51
7.0,8.0,4.0,2.0,5.0,3.0,6.0,7.0,4.0,4.0,2.0,3.0,6.0,2.0,2.0,8.0,3.0,5.0,3.0,6.0,0.45
3.0,7.0,2.0,3.0,9.0,5.0,4.0,6.0,4.0,6.0,6.0,9.0,4.0,6.0,1.0,4.0,5.0,4.0,8.0,4.0,0.5
2.0,6.0,3.0,4.0,5.0,0.0,3.0,1.0,6.0,5.0,6.0,5.0,6.0,3.0,4.0,6.0,8.0,10.0,7.0,2.0,0.46
3.0,9.0,3.0,3.0,4.0,2.0,4.0,3.0,7.0,4.0,5.0,3.0,5.0,8.0,8.0,6.0,2.0,4.0,6.0,4.0,0.465
7.0,9.0,7.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,7.0,4.0,6.0,4.0,7.0,4.0,3.0,5.0,2.0,5.0,0.465
2.0,10.0,3.0,4.0,5.0,5.0,10.5,1.0,3.0,3.0,4.0,7.0,8.0,6.0,6.0,9.0,6.0,5.0,7.0,7.0,0.56
3.0,1.0,8.0,5.0,4.0,6.0,4.0,10.0,5.0,1.0,6.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,8.0,1.0,0.435
7.0,5.0,7.0,3.0,5.0,8.0,2.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,0.47
9.0,5.0,6.0,3.0,7.0,4.0,9.0,3.0,3.0,7.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,7.0,2.0,0.47
3.0,7.0,0.0,5.0,3.0,5.0,7.0,3.0,5.0,5.0,9.0,3.0,3.0,5.0,3.0,10.5,5.0,6.0,7.0,5.0,0.505
7.0,3.0,6.0,2.0,3.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,7.0,1.0,2.0,3.0,7.0,5.0,3.0,6.0,0.435
4.0,8.0,4.0,6.0,5.0,8.0,10.0,9.0,5.0,7.0,4.0,7.0,4.0,10.0,7.0,9.0,3.0,6.0,4.0,7.0,0.635
7.0,6.0,5.0,6.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0,6.0,4.0,4.0,7.0,6.0,8.0,6.0,0.5
2.0,4.0,8.0,4.0,4.0,6.0,7.0,2.0,7.0,5.0,4.0,10.5,4.0,10.0,7.0,3.0,4.0,4.0,2.0,4.0,0.515
7.0,9.0,6.0,7.0,5.0,4.0,4.0,5.0,2.0,1.0,4.0,9.0,9.0,5.0,5.0,3.0,7.0,4.0,3.0,4.0,0.515
4.0,2.0,9.0,5.0,2.0,7.0,6.0,5.0,4.0,9.0,4.0,6.0,6.0,2.0,8.0,5.0,8.0,6.0,5.0,4.0,0.535
8.0,2.0,5.0,5.0,2.0,6.0,9.0,5.0,8.0,2.0,4.0,2.0,9.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,0.475
5.0,2.0,3.0,8.0,2.0,5.0,9.0,5.0,2.0,4.0,3.0,8.0,1.0,2.0,9.0,4.0,2.0,5.0,9.0,3.0,0.455
6.0,7.0,10.5,2.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,10.0,7.0,9.0,5.0,5.0,3.0,2.0,4.0,5.0,0.525
2.0,5.0,6.0,6.0,3.0,5.0,4.0,5.0,4.0,0.0,4.0,3.0,5.0,4.0,2.0,5.0,4.0,6.0,8.0,4.0,0.425
4.0,4.0,1.0,3.0,6.0,7.0,7.0,5.0,4.0,4.0,1.0,4.0,5.0,5.0,6.0,3.0,6.0,4.0,8.0,5.0,0.46
3.0,10.0,7.0,3.0,3.0,7.0,10.0,6.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,10.0,3.0,5.0,6.0,2.0,0.54
4.0,6.0,5.0,5.0,2.0,9.0,4.0,0.0,5.0,6.0,4.0,5.0,6.0,7.0,3.0,7.0,3.0,3.0,5.0,9.0,0.49
4.0,3.0,4.0,5.0,8.0,3.0,5.0,2.0,6.0,8.0,1.0,5.0,4.0,10.5,9.0,8.0,6.0,5.0,4.0,7.0,0.54
6.0,10.5,9.0,5.0,5.0,6.0,4.0,7.0,5.0,6.0,8.0,5.0,8.0,4.0,4.0,5.0,9.0,8.0,5.0,5.0,0.625
7.0,7.0,4.0,5.0,3.0,5.0,4.0,6.0,0.0,5.0,6.0,6.0,6.0,3.0,8.0,6.0,5.0,5.0,5.0,2.0,0.49
4.0,3.0,6.0,6.0,1.0,6.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,8.0,5.0,6.0,5.0,3.0,7.0,0.49
4.0,4.0,4.0,1.0,3.0,9.0,7.0,3.0,8.0,6.0,5.0,4.0,3.0,5.0,5.0,9.0,7.0,5.0,5.0,4.0,0.505
3.0,6.0,8.0,7.0,5.0,7.0,5.0,4.0,7.0,8.0,3.0,4.0,9.0,1.0,5.0,6.0,4.0,6.0,6.0,4.0,0.54
9.0,4.0,9.0,5.0,4.0,6.0,5.0,3.0,7.0,2.0,6.0,2.0,7.0,4.0,4.0,4.0,2.0,6.0,6.0,3.0,0.49
4.0,7.0,6.0,6.0,4.0,6.0,10.5,1.0,3.0,3.0,8.0,6.0,7.0,4.0,7.0,7.0,5.0,5.0,2.0,6.0,0.545
3.0,4.0,5.0,4.0,7.0,2.0,4.0,7.0,7.0,7.0,5.0,4.0,7.0,2.0,7.0,4.0,6.0,8.0,4.0,2.0,0.495
5.0,7.0,3.0,6.0,4.0,7.0,2.0,8.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,1.0,7.0,8.0,4.0,2.0,0.465
6.0,5.0,7.0,2.0,7.0,6.0,6.0,6.0,2.0,7.0,7.0,5.0,3.0,9.0,10.0,7.0,1.0,4.0,5.0,5.0,0.55
3.0,9.0,2.0,6.0,9.0,3.0,6.0,3.0,6.0,4.0,1.0,3.0,4.0,7.0,8.0,6.0,1.0,3.0,5.0,4.0,0.465
6.0,0.0,4.0,3.0,8.0,5.0,2.0,3.0,4.0,5.0,7.0,4.0,10.5,3.0,6.0,5.0,2.0,8.0,3.0,6.0,0.475
5.0,7.0,5.0,10.5,7.0,4.0,3.0,4.0,5.0,6.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,10.5,0.54
5.0,9.0,0.0,6.0,5.0,7.0,9.0,8.0,4.0,7.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,6.0,3.0,4.0,0.505
1.0,7.0,1.0,4.0,5.0,5.0,7.0,7.0,6.0,5.0,8.0,6.0,5.0,9.0,5.0,2.0,7.0,9.0,2.0,2.0,0.515
8.0,4.0,5.0,3.0,7.0,7.0,10.0,4.0,8.0,9.0,6.0,6.0,1.0,5.0,6.0,6.0,8.0,6.0,4.0,5.0,0.59
6.0,8.0,2.0,6.0,2.0,3.0,10.5,2.0,9.0,10.5,2.0,1.0,8.0,4.0,6.0,7.0,6.0,5.0,8.0,2.0,0.545
6.0,4.0,5.0,5.0,6.0,5.0,8.0,6.0,6.0,6.0,5.0,2.0,6.0,7.0,4.0,8.0,3.0,8.0,6.0,8.0,0.57
7.0,4.0,3.0,5.0,4.0,7.0,1.0,6.0,6.0,6.0,4.0,7.0,2.0,5.0,5.0,6.0,1.0,3.0,6.0,4.0,0.46
5.0,5.0,3.0,5.0,4.0,6.0,2.0,5.0,3.0,6.0,2.0,6.0,6.0,1.0,7.0,3.0,5.0,4.0,5.0,2.0,0.425
5.0,3.0,4.0,5.0,3.0,8.0,7.0,4.0,10.5,8.0,6.0,6.0,9.0,2.0,5.0,5.0,1.0,5.0,6.0,6.0,0.55
8.0,7.0,5.0,5.0,1.0,3.0,5.0,3.0,10.5,4.0,3.0,7.0,9.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,0.495
5.0,5.0,2.0,6.0,3.0,8.0,2.0,7.0,3.0,10.0,6.0,2.0,5.0,1.0,3.0,10.5,9.0,5.0,3.0,5.0,0.505
3.0,2.0,4.0,5.0,7.0,3.0,1.0,4.0,2.0,4.0,9.0,8.0,8.0,3.0,4.0,9.0,8.0,5.0,4.0,8.0,0.505
4.0,6.0,10.5,9.0,9.0,8.0,6.0,5.0,5.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,5.0,2.0,1.0,8.0,0.495
5.0,8.0,6.0,7.0,4.0,3.0,6.0,9.0,4.0,3.0,5.0,7.0,4.0,6.0,2.0,6.0,7.0,4.0,8.0,7.0,0.555
6.0,7.0,4.0,5.0,5.0,4.0,1.0,6.0,7.0,8.0,2.0,4.0,6.0,3.0,4.0,5.0,6.0,3.0,4.0,3.0,0.465
6.0,4.0,2.0,10.5,8.0,3.0,3.0,4.0,6.0,4.0,2.0,8.0,2.0,3.0,7.0,3.0,6.0,4.0,7.0,2.0,0.475
10.0,2.0,6.0,5.0,1.0,7.0,5.0,5.0,10.5,5.0,4.0,1.0,6.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,0.425
3.0,7.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,9.0,10.0,5.0,3.0,7.0,3.0,3.0,4.0,0.49
4.0,5.0,6.0,3.0,7.0,2.0,10.0,1.0,5.0,2.0,6.0,4.0,1.0,2.0,1.0,6.0,3.0,6.0,4.0,2.0,0.4
3.0,3.0,4.0,8.0,4.0,3.0,6.0,1.0,3.0,4.0,9.0,7.0,5.0,6.0,10.0,7.0,1.0,8.0,4.0,7.0,0.515
6.0,10.5,6.0,5.0,9.0,6.0,6.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,6.0,3.0,4.0,6.0,9.0,0.54
6.0,4.0,3.0,2.0,7.0,2.0,4.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,8.0,0.455
5.0,4.0,9.0,7.0,10.5,10.0,3.0,7.0,2.0,7.0,5.0,3.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,3.0,0.565
3.0,4.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,7.0,7.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,4.0,9.0,0.49
10.0,6.0,9.0,1.0,3.0,7.0,9.0,9.0,9.0,3.0,4.0,4.0,5.0,6.0,5.0,7.0,8.0,3.0,1.0,3.0,0.56
4.0,5.0,3.0,4.0,3.0,6.0,7.0,8.0,6.0,2.0,2.0,10.0,9.0,5.0,5.0,7.0,1.0,7.0,3.0,3.0,0.5
6.0,5.0,3.0,7.0,9.0,5.0,2.0,0.0,5.0,5.0,6.0,6.0,2.0,10.0,7.0,4.0,6.0,5.0,7.0,7.0,0.535
5.0,3.0,7.0,4.0,6.0,5.0,5.0,7.0,4.0,6.0,4.0,4.0,7.0,4.0,3.0,3.0,5.0,10.0,7.0,2.0,0.505
2.0,7.0,10.0,9.0,4.0,6.0,9.0,7.0,4.0,7.0,3.0,4.0,7.0,2.0,5.0,3.0,5.0,4.0,6.0,7.0,0.555
2.0,7.0,1.0,7.0,5.0,5.0,6.0,6.0,4.0,4.0,10.0,4.0,4.0,8.0,3.0,4.0,5.0,9.0,7.0,4.0,0.525
4.0,6.0,2.0,4.0,4.0,6.0,2.0,5.0,1.0,6.0,2.0,9.0,5.0,5.0,10.0,2.0,1.0,2.0,6.0,9.0,0.455
7.0,7.0,7.0,1.0,9.0,7.0,9.0,8.0,4.0,2.0,5.0,8.0,4.0,6.0,5.0,5.0,6.0,6.0,2.0,4.0,0.56
3.0,9.0,8.0,6.0,5.0,1.0,9.0,7.0,3.0,6.0,6.0,2.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,7.0,0.505
6.0,6.0,4.0,3.0,4.0,7.0,4.0,3.0,7.0,5.0,4.0,6.0,3.0,2.0,4.0,4.0,3.0,6.0,3.0,10.0,0.47
5.0,4.0,7.0,10.0,8.0,2.0,4.0,5.0,3.0,10.5,10.5,6.0,7.0,7.0,2.0,6.0,5.0,3.0,7.0,6.0,0.595
8.0,4.0,4.0,5.0,6.0,6.0,3.0,6.0,6.0,2.0,4.0,7.0,8.0,3.0,7.0,4.0,7.0,2.0,5.0,5.0,0.51
3.0,1.0,7.0,5.0,4.0,1.0,5.0,3.0,6.0,7.0,6.0,4.0,5.0,7.0,7.0,1.0,1.0,3.0,7.0,6.0,0.445
3.0,8.0,1.0,5.0,2.0,3.0,9.0,5.0,6.0,4.0,5.0,7.0,5.0,4.0,2.0,6.0,5.0,9.0,5.0,10.5,0.535
8.0,7.0,6.0,6.0,5.0,9.0,6.0,5.0,3.0,2.0,4.0,3.0,3.0,10.0,6.0,10.5,7.0,2.0,7.0,5.0,0.575
3.0,8.0,6.0,5.0,4.0,6.0,8.0,4.0,2.0,8.0,6.0,6.0,6.0,8.0,2.0,1.0,4.0,4.0,4.0,8.0,0.515
4.0,2.0,5.0,9.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,7.0,3.0,3.0,3.0,0.44
9.0,4.0,5.0,4.0,7.0,7.0,5.0,7.0,3.0,8.0,9.0,3.0,5.0,7.0,5.0,3.0,8.0,7.0,4.0,5.0,0.575
6.0,2.0,5.0,6.0,5.0,5.0,3.0,8.0,4.0,5.0,6.0,3.0,1.0,10.5,7.0,7.0,4.0,4.0,9.0,4.0,0.53
8.0,6.0,5.0,6.0,2.0,7.0,4.0,3.0,9.0,5.0,3.0,5.0,4.0,7.0,4.0,1.0,3.0,3.0,4.0,3.0,0.46
6.0,3.0,2.0,9.0,3.0,6.0,7.0,6.0,5.0,6.0,4.0,3.0,3.0,5.0,10.5,2.0,2.0,6.0,7.0,2.0,0.495
6.0,4.0,7.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,9.0,4.0,3.0,3.0,9.0,3.0,3.0,5.0,2.0,0.46
3.0,10.0,6.0,7.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,10.0,6.0,8.0,4.0,2.0,8.0,5.0,3.0,2.0,0.515
4.0,9.0,7.0,4.0,6.0,5.0,6.0,6.0,7.0,8.0,7.0,5.0,1.0,6.0,3.0,2.0,6.0,4.0,7.0,3.0,0.53
3.0,9.0,5.0,6.0,5.0,2.0,3.0,3.0,3.0,4.0,10.0,3.0,8.0,6.0,4.0,6.0,4.0,8.0,6.0,3.0,0.505
1.0,6.0,7.0,6.0,7.0,3.0,1.0,2.0,6.0,5.0,7.0,5.0,4.0,4.0,7.0,3.0,4.0,8.0,6.0,4.0,0.48
3.0,3.0,3.0,4.0,10.0,3.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0,9.0,6.0,5.0,9.0,3.0,7.0,6.0,0.5
7.0,6.0,6.0,3.0,3.0,5.0,10.5,6.0,7.0,5.0,5.0,5.0,3.0,4.0,6.0,5.0,8.0,4.0,5.0,9.0,0.565
5.0,6.0,5.0,4.0,2.0,7.0,7.0,6.0,6.0,6.0,4.0,0.0,6.0,5.0,2.0,5.0,6.0,4.0,4.0,4.0,0.47
2.0,7.0,5.0,10.5,2.0,6.0,3.0,4.0,8.0,6.0,6.0,5.0,4.0,4.0,4.0,1.0,3.0,4.0,6.0,7.0,0.49
4.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,7.0,6.0,4.0,2.0,4.0,3.0,5.0,6.0,3.0,5.0,4.0,0.415
7.0,7.0,6.0,4.0,3.0,4.0,4.0,1.0,4.0,7.0,4.0,7.0,1.0,4.0,4.0,4.0,2.0,9.0,2.0,5.0,0.445
10.0,6.0,5.0,9.0,5.0,3.0,3.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,4.0,9.0,7.0,3.0,7.0,0.555
5.0,5.0,5.0,4.0,6.0,2.0,5.0,2.0,5.0,4.0,8.0,10.0,6.0,3.0,5.0,5.0,0.0,5.0,2.0,5.0,0.46
2.0,3.0,3.0,8.0,3.0,5.0,10.5,3.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,5.0,5.0,7.0,4.0,2.0,0.42
2.0,6.0,2.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,3.0,1.0,6.0,5.0,5.0,5.0,4.0,7.0,0.455
5.0,6.0,1.0,4.0,6.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,10.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,0.395
6.0,7.0,3.0,6.0,5.0,10.5,2.0,3.0,5.0,6.0,2.0,9.0,5.0,8.0,7.0,7.0,10.5,3.0,6.0,9.0,0.61
6.0,5.0,6.0,2.0,5.0,4.0,4.0,10.0,3.0,10.5,5.0,7.0,8.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,0.55
4.0,6.0,6.0,5.0,6.0,9.0,2.0,7.0,4.0,4.0,4.0,7.0,2.0,7.0,5.0,5.0,3.0,4.0,6.0,7.0,0.515
3.0,3.0,3.0,5.0,4.0,6.0,6.0,5.0,3.0,6.0,7.0,7.0,6.0,4.0,2.0,4.0,5.0,2.0,2.0,8.0,0.455
8.0,5.0,2.0,7.0,3.0,4.0,5.0,7.0,6.0,8.0,3.0,4.0,4.0,6.0,3.0,9.0,3.0,6.0,5.0,4.0,0.51
2.0,5.0,5.0,4.0,4.0,7.0,10.5,3.0,10.5,10.5,5.0,6.0,5.0,7.0,7.0,4.0,7.0,1.0,3.0,5.0,0.565
5.0,2.0,8.0,2.0,4.0,2.0,6.0,5.0,8.0,3.0,5.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,0.505
6.0,8.0,4.0,3.0,4.0,6.0,3.0,4.0,3.0,8.0,6.0,6.0,6.0,1.0,3.0,0.0,6.0,4.0,5.0,2.0,0.44
3.0,10.0,4.0,4.0,8.0,9.0,6.0,3.0,6.0,8.0,6.0,1.0,9.0,4.0,6.0,3.0,4.0,4.0,5.0,4.0,0.535
4.0,10.0,6.0,6.0,2.0,5.0,3.0,8.0,8.0,4.0,6.0,2.0,3.0,4.0,5.0,6.0,8.0,6.0,5.0,10.0,0.555
6.0,6.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,2.0,8.0,4.0,7.0,3.0,5.0,10.5,5.0,5.0,6.0,0.505
3.0,3.0,5.0,4.0,7.0,6.0,6.0,3.0,5.0,5.0,8.0,3.0,5.0,2.0,6.0,2.0,4.0,4.0,3.0,4.0,0.44
6.0,2.0,9.0,6.0,5.0,5.0,8.0,4.0,8.0,7.0,3.0,6.0,8.0,8.0,3.0,3.0,3.0,8.0,4.0,9.0,0.575
3.0,4.0,7.0,5.0,3.0,5.0,5.0,9.0,3.0,10.5,8.0,3.0,6.0,8.0,3.0,5.0,2.0,3.0,3.0,5.0,0.515
4.0,4.0,6.0,1.0,7.0,6.0,2.0,4.0,4.0,6.0,4.0,10.5,5.0,4.0,2.0,7.0,2.0,7.0,3.0,2.0,0.455
4.0,5.0,7.0,8.0,4.0,8.0,7.0,2.0,2.0,5.0,10.5,3.0,3.0,6.0,4.0,9.0,6.0,5.0,8.0,5.0,0.575
4.0,5.0,6.0,6.0,0.0,4.0,6.0,6.0,5.0,6.0,3.0,4.0,5.0,8.0,4.0,4.0,3.0,3.0,4.0,4.0,0.45
6.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,6.0,5.0,3.0,6.0,3.0,2.0,5.0,3.0,8.0,5.0,2.0,0.425
2.0,5.0,4.0,5.0,7.0,4.0,7.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,6.0,10.0,7.0,3.0,4.0,2.0,0.47
5.0,8.0,5.0,4.0,7.0,5.0,8.0,1.0,5.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,4.0,9.0,10.0,9.0,0.565
2.0,2.0,5.0,6.0,3.0,6.0,2.0,6.0,6.0,4.0,6.0,1.0,3.0,8.0,2.0,2.0,4.0,2.0,6.0,5.0,0.405
8.0,6.0,4.0,6.0,3.0,4.0,3.0,6.0,4.0,9.0,1.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,3.0,2.0,0.465
5.0,4.0,2.0,6.0,1.0,3.0,3.0,7.0,8.0,3.0,3.0,1.0,4.0,6.0,6.0,3.0,8.0,6.0,2.0,5.0,0.43
5.0,3.0,10.5,5.0,7.0,3.0,6.0,4.0,4.0,8.0,7.0,2.0,3.0,4.0,9.0,7.0,10.5,4.0,7.0,5.0,0.575
10.0,3.0,6.0,6.0,6.0,7.0,3.0,2.0,7.0,8.0,6.0,2.0,9.0,5.0,7.0,4.0,6.0,9.0,2.0,7.0,0.575
6.0,8.0,2.0,3.0,9.0,4.0,7.0,4.0,5.0,7.0,5.0,8.0,3.0,3.0,4.0,8.0,2.0,6.0,6.0,6.0,0.53
3.0,5.0,3.0,6.0,9.0,6.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,7.0,5.0,5.0,0.455
5.0,4.0,2.0,5.0,4.0,6.0,6.0,7.0,8.0,5.0,3.0,5.0,5.0,6.0,4.0,1.0,7.0,8.0,6.0,4.0,0.505
2.0,6.0,5.0,4.0,4.0,3.0,5.0,7.0,3.0,3.0,5.0,9.0,4.0,6.0,3.0,8.0,5.0,4.0,4.0,5.0,0.475
4.0,4.0,4.0,9.0,6.0,5.0,6.0,5.0,5.0,9.0,6.0,4.0,2.0,6.0,7.0,4.0,5.0,4.0,3.0,6.0,0.52
2.0,2.0,3.0,3.0,6.0,7.0,7.0,2.0,4.0,4.0,4.0,5.0,9.0,5.0,3.0,5.0,3.0,6.0,5.0,8.0,0.465
4.0,4.0,6.0,5.0,6.0,5.0,8.0,3.0,10.0,10.0,6.0,1.0,10.0,9.0,5.0,1.0,5.0,5.0,5.0,0.0,0.54
6.0,4.0,5.0,8.0,7.0,10.5,7.0,3.0,7.0,5.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,7.0,6.0,4.0,0.525
2.0,5.0,7.0,2.0,0.0,8.0,8.0,7.0,3.0,6.0,5.0,5.0,4.0,2.0,8.0,2.0,2.0,7.0,2.0,5.0,0.45
3.0,2.0,9.0,6.0,9.0,6.0,2.0,1.0,6.0,4.0,6.0,4.0,7.0,4.0,3.0,3.0,2.0,6.0,6.0,5.0,0.47
4.0,3.0,4.0,6.0,5.0,5.0,2.0,5.0,4.0,6.0,6.0,3.0,3.0,6.0,3.0,7.0,5.0,6.0,5.0,4.0,0.46
2.0,4.0,4.0,2.0,7.0,8.0,9.0,9.0,5.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,5.0,4.0,3.0,2.0,0.5
2.0,3.0,5.0,10.0,7.0,8.0,7.0,9.0,2.0,8.0,6.0,6.0,5.0,7.0,4.0,2.0,7.0,3.0,4.0,8.0,0.565
7.0,3.0,5.0,5.0,6.0,4.0,3.0,10.0,7.0,7.0,5.0,5.0,7.0,9.0,7.0,3.0,0.0,6.0,2.0,6.0,0.535
3.0,5.0,8.0,2.0,1.0,5.0,2.0,8.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,4.0,8.0,6.0,1.0,8.0,0.48
3.0,7.0,5.0,6.0,8.0,8.0,7.0,5.0,6.0,5.0,3.0,7.0,5.0,4.0,4.0,5.0,8.0,0.0,7.0,5.0,0.54
8.0,6.0,7.0,6.0,7.0,4.0,6.0,1.0,6.0,5.0,10.0,6.0,10.0,5.0,2.0,5.0,2.0,1.0,5.0,6.0,0.54
4.0,7.0,9.0,5.0,4.0,5.0,6.0,5.0,6.0,3.0,4.0,5.0,7.0,2.0,8.0,4.0,1.0,5.0,5.0,7.0,0.51
4.0,7.0,7.0,3.0,7.0,6.0,4.0,5.0,10.0,7.0,3.0,5.0,8.0,4.0,3.0,3.0,4.0,4.0,4.0,7.0,0.525
6.0,3.0,3.0,6.0,4.0,4.0,6.0,5.0,3.0,6.0,6.0,6.0,1.0,6.0,1.0,4.0,3.0,6.0,4.0,9.0,0.46
7.0,5.0,7.0,5.0,8.0,5.0,7.0,3.0,9.0,4.0,3.0,3.0,6.0,7.0,1.0,6.0,5.0,3.0,7.0,5.0,0.53
3.0,7.0,2.0,6.0,2.0,2.0,2.0,8.0,8.0,7.0,3.0,6.0,4.0,2.0,10.5,3.0,4.0,2.0,3.0,4.0,0.445
